Log_ID;Log_Date;Log_Level;Log_Source;User;Controller;Action;Log_Message;Exception
10998178;2026-05-08 00:00:38.810;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998177;2026-05-08 00:00:38.807;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998176;2026-05-08 00:00:38.800;ERROR;BizSMS.Helpers.Logger;;admin;login;The controller for path '/admin/login' was not found or does not implement IController.;
10998175;2026-05-08 00:00:36.190;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998174;2026-05-08 00:00:36.190;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998173;2026-05-08 00:00:36.183;ERROR;BizSMS.Helpers.Logger;;admin;login;The controller for path '/admin/login' was not found or does not implement IController.;
10998172;2026-05-08 00:00:34.257;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998171;2026-05-08 00:00:34.247;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998170;2026-05-08 00:00:34.247;ERROR;BizSMS.Helpers.Logger;;admin;login;The controller for path '/admin/login' was not found or does not implement IController.;
10998169;2026-05-08 00:00:19.277;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998168;2026-05-07 23:59:57.550;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998167;2026-05-07 23:59:54.937;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998166;2026-05-07 23:59:52.817;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998165;2026-05-07 23:59:52.817;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998164;2026-05-07 23:59:52.817;ERROR;BizSMS.Helpers.Logger;;workflow;Login;The controller for path '/workflow/' was not found or does not implement IController.;
10998163;2026-05-07 23:59:45.903;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998162;2026-05-07 23:59:45.903;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998161;2026-05-07 23:59:45.897;ERROR;BizSMS.Helpers.Logger;;settings;Login;The controller for path '/settings' was not found or does not implement IController.;
10998160;2026-05-07 23:59:43.330;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998159;2026-05-07 23:59:43.317;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998158;2026-05-07 23:59:43.310;ERROR;BizSMS.Helpers.Logger;;settings;Login;The controller for path '/settings' was not found or does not implement IController.;
10998157;2026-05-07 23:59:15.040;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998156;2026-05-07 23:59:11.480;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998155;2026-05-07 23:59:00.533;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998154;2026-05-07 23:59:00.197;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998153;2026-05-07 23:58:53.900;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998152;2026-05-07 23:58:46.490;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998151;2026-05-07 23:58:45.817;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998150;2026-05-07 23:58:40.523;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998149;2026-05-07 23:58:40.520;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998148;2026-05-07 23:58:40.517;ERROR;BizSMS.Helpers.Logger;;Synchronization;Login;The controller for path '/Synchronization' was not found or does not implement IController.;
10998147;2026-05-07 23:58:23.433;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998146;2026-05-07 23:58:14.373;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998145;2026-05-07 23:58:14.370;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998144;2026-05-07 23:58:14.367;ERROR;BizSMS.Helpers.Logger;;postlocal;Login;The controller for path '/postlocal' was not found or does not implement IController.;
10998143;2026-05-07 23:57:51.363;ERROR;BizSMS.Helpers.Logger;;Error;Http400;Not Found;
10998142;2026-05-07 23:57:51.360;INFO;BizSMS.Helpers.Logger;;Error;Http400;Default logging;
10998141;2026-05-07 23:57:51.357;ERROR;BizSMS.Helpers.Logger;;file=http:;oast.pro;A potentially dangerous Request.Path value was detected from the client (:).;
10998140;2026-05-07 23:57:27.830;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998139;2026-05-07 23:57:27.367;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998138;2026-05-07 23:57:27.367;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998137;2026-05-07 23:57:27.363;ERROR;BizSMS.Helpers.Logger;;add_reference_to_local_model;Login;The controller for path '/add_reference_to_local_model' was not found or does not implement IController.;
10998136;2026-05-07 23:57:16.820;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998135;2026-05-07 23:56:50.657;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998134;2026-05-07 23:56:50.620;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998133;2026-05-07 23:56:50.617;ERROR;BizSMS.Helpers.Logger;;drag;onlDragDatasetHead;The controller for path '/drag/onlDragDatasetHead/getTotalData' was not found or does not implement IController.;
10998132;2026-05-07 23:56:38.167;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998131;2026-05-07 23:56:38.153;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998130;2026-05-07 23:56:38.143;ERROR;BizSMS.Helpers.Logger;;admin;login;The controller for path '/admin/login' was not found or does not implement IController.;
10998129;2026-05-07 23:56:30.460;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998128;2026-05-07 23:56:30.457;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998127;2026-05-07 23:56:30.453;ERROR;BizSMS.Helpers.Logger;;cobbler_api;Login;The controller for path '/cobbler_api' was not found or does not implement IController.;
10998126;2026-05-07 23:56:15.897;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998125;2026-05-07 23:56:15.893;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998124;2026-05-07 23:56:15.890;ERROR;BizSMS.Helpers.Logger;;de2api;user;The controller for path '/de2api/user/info' was not found or does not implement IController.;
10998123;2026-05-07 23:55:11.330;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998122;2026-05-07 23:55:11.320;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998121;2026-05-07 23:55:11.313;ERROR;BizSMS.Helpers.Logger;;~projects;Login;The controller for path '/~projects' was not found or does not implement IController.;
10998120;2026-05-07 23:54:16.927;ERROR;BizSMS.Helpers.Logger;;Error;Http400;Not Found;
10998119;2026-05-07 23:54:16.920;INFO;BizSMS.Helpers.Logger;;Error;Http400;Default logging;
10998118;2026-05-07 23:54:16.917;ERROR;BizSMS.Helpers.Logger;; ; ;A potentially dangerous Request.Path value was detected from the client (:).;
10998117;2026-05-07 23:53:23.610;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998116;2026-05-07 23:53:23.607;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998115;2026-05-07 23:53:23.600;ERROR;BizSMS.Helpers.Logger;;business-directory;Login;The controller for path '/business-directory/' was not found or does not implement IController.;
10998114;2026-05-07 23:53:10.823;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998113;2026-05-07 23:53:10.820;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998112;2026-05-07 23:53:10.817;ERROR;BizSMS.Helpers.Logger;;default.aspx;Login;The controller for path '/default.aspx' was not found or does not implement IController.;
10998111;2026-05-07 23:53:07.983;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998110;2026-05-07 23:53:02.837;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998109;2026-05-07 23:52:57.707;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998108;2026-05-07 23:52:56.583;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998107;2026-05-07 23:52:30.317;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998106;2026-05-07 23:52:29.843;ERROR;BizSMS.Helpers.Logger;;Error;Http404;Http404;
10998105;2026-05-07 23:52:29.843;INFO;BizSMS.Helpers.Logger;;Error;Http404;Default logging;
10998104;2026-05-07 23:52:29.840;ERROR;BizSMS.Helpers.Logger;;graphs;Login;The controller for path '/graphs' was not found or does not implement IController.;
10998103;2026-05-07 23:52:26.327;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998102;2026-05-07 23:52:18.187;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
10998101;2026-05-07 23:52:07.627;INFO;BizSMS.Helpers.Logger;;Account;Login;Default logging;
